english_name,japanese_name,definition
Dohyō-iri,土俵入り,"Ring-entering ceremony, performed only by the wrestlers in the jūryō and makuuchi divisions. the east and west sides perform their dohyō-iri together, in succession; the yokozuna have their own individual dohyō-iri performed separately. the main styles of yokozuna dohyō-iri are unryū and shiranui, named after unryū kyūkichi and shiranui kōemon. a yokozuna performs the ceremony with two attendants, the tachimochi (太刀持ち, sword carrier) and the tsuyuharai (露払い, dew sweeper)."
Ebanzuke,絵番付,"Picture banzuke with paintings of top division sekitori, gyōji and sometimes yobidashi."
Fudadome,札止め,"""sold out,"" meaning that seats are 100% sold out. in contrast to man'in onrei which means full house and can be claimed when seats are anywhere between 75-95% filled, depending on what the officials decide."
Fusenpai,不戦敗,"A loss by default for not appearing at a scheduled bout. if a wrestler withdraws from the tournament (injury or retirement), one loss by default will be recorded against him on the following day, and simple absence for the remainder. recorded with a black square."
Shimpan-iin,審判委員,Umpire committee. the shimpan as a group.
Shinjo shusse hirō,新序出世披露,Occasion co-ordinated where new wrestlers who have been accepted into professional sumo are presented to audience; they wear borrowed keshō-mawashi during this ceremony which takes place on the middle sunday of each tournament.[3]
Shiroboshi,白星,"White star. a victory in a sumo bout, recorded with a white circle."
Shonichi,初日,"First day. the first day of a tournament, or the first win after a series of losses."
Shukun-shō,殊勲賞,Outstanding performance prize. one of three special prizes awarded to rikishi for performance in a basho.
Sumō-ji,相撲字,Calligraphy style with very wide brushstrokes used to write the banzuke.
Sumō moji,相撲文字,See sumō-ji.
Tachi-ai,立ち合い,The initial charge at the beginning of a bout.
Tawara,俵,Bales of rice straw. tawara are half-buried in the clay of the dohyō to mark its boundaries.
Tennō-hai,天皇杯,"Emperor's cup, awarded to the winner of the top division tournament championship since 1925."
Torikumi,取組,A bout during a tournament. may also refer to a day's bout schedule.
Toshiyori,年寄,A sumo elder.
Toshiyori kabu,年寄株,"A coaching license, of which there are a limited number of 105, which a recently retired sekitori, can either buy from its previous owner or inherit from his father or father-in-law."
Tsuppari,突っ張り,To rapidly deliver harite (張り手 or open hand strikes) to the opponent. this technique is frequently employed by oshi-zumō wrestlers.
Yaochō,八百長,"""put-up job"" or ""fixed game"", referring to a bout with a predetermined outcome."
Yokozuna,横綱,"Horizontal rope. the top rank in sumo, usually translated grand champion. the name comes from the rope a yokozuna wears for the dohyō-iri. see tsuna."
Yumitori-shiki,弓取式,"The bow-twirling ceremony performed at the end of each honbasho day by a designated wrestler, the yumitori, who is usually from the makushita division, and is usually a member of a yokozuna's stable."
Zenshō,全勝,"A perfect tournament where, depending on the division, the wrestler finishes 15–0 or 7–0 in the tournament."
Fusenshō,不戦勝,"A win by default because of the absence of the opponent. the system was established for the honbasho in the may 1927 tournament. after the issue of hitachiiwa eitarō, the system was modified to the modern form. prior to this, an absence would simply be recorded for both wrestlers, regardless of which one had failed to show. recorded with a white square."
Ginō-shō,技能賞,Technique prize. one of three special prizes awarded to rikishi for performance in a basho.
Gunbai-dori,軍配通り,"The decision following a mono-ii affirming the gyōji's original decision. literally, ""according to the gunbai""."
Gyōji gunbai sashichigae,行司軍配差し違え,"The decision following a mono-ii reversing the gyōji's original decision. literally, ""referee pointed the gunbai incorrectly""."
Hanamichi,花道,"The two main east and west ""paths"" leading from the preparation rooms to the dohyō."
Haridashi,張り出し,"Overhang. if there are more than two wrestlers at any san'yaku rank, the additional wrestlers are termed haridashi. prior to 1995, such wrestlers were listed on the banzuke in extensions or ""overhangs"" to the row for makuuchi wrestlers. this is now an informal designation, since presently all wrestlers are listed within the normal bounds of the row."
Hazuoshi,筈押し,"Pushing up with hands under opponent's armpits. hazu refers to the nock of an arrow where it makes contact with the bow string. hazu can also mean the nock-shaped area of the hand between the thumb and forefinger, so in this case means using the hazu of the hand to lock into the armpit of the opponent and push them upward to prevent them from getting a hold of one's belt."
Henka,変化,"A sidestep to avoid an attack. if done, it is usually at the tachi-ai to set up a slap-down technique, but this is often regarded as bad sumo and unworthy of higher ranked wrestlers. some say it is a legitimate ""outsmarting"" move, and provides a necessary balance to direct force, ""henka"" meaning ""changing; to change"".[citation needed]"
Heyagashira,部屋頭,The most senior-ranked wrestler in a stable (or heya).
Hiwaza,非技,Non-technique. a winning situation where the victorious wrestler did not initiate a kimarite. the japan sumo association recognizes five hiwaza. see kimarite for descriptions.
Honbasho,本場所,"A professional sumo tournament, held six times a year in the modern era, where the results affect the wrestlers' rankings."
Ichimon,一門,"A group of related heya. there are five groups: dewanoumi, nishonoseki, takasago, tokitsukaze, and isegahama. these groups tend to cooperate closely on inter-stable training and the occasional transfer of personnel. all ichimon have at least one representative on the sumo association board of directors. in the past, ichimon were more established cooperative entities and until 1965, wrestlers from the same ichimon did not fight each other in tournament competition."
Inashi,往なし,"To sidestep or dodge. as opposed to when done at the tachiai when it is referred to as a henka, inashi is done after the initial tachiai to catch the opponent off guard and force him out in another direction."
Jonidan,序二段,"The second-lowest division of sumo wrestlers, below sandanme and above jonokuchi."
Jungyō,巡業,"Regional tours in japan and sometimes abroad, undertaken between honbasho, during which the wrestlers give exhibition matches."
Jūryō,十両,"Ten ryō, for the original salary of a professional sumo wrestler. the second-highest division of sumo wrestlers, below makuuchi and above makushita, and the lowest division where the wrestlers receive a salary and full privileges."
Kabai-te,庇い手,"Literally translates as defending hand. when the two wrestlers fall together, the wrestler on the lower side is referred to as shini-tai, or dead body, meaning that he is the loser even if he doesn't touch the ground first. in this case, if injury is foreseen, the wrestler on the upper side is allowed to support his weight by sticking out a hand on the ground (kabai-te) prior to the shini-tai wrestler touching the ground first. although the wrestler on top touches first, he is still declared the winner."
Kachi-age,搗ち上げ,Technique where the wrestler folds his arms and rushes forward to hit opponent's chest or chin to make his posture upright. this is most commonly done at the tachi-ai and can also result in stunning the opponent. literally translates as striking upward. the first kanji character is uncommon and is also the one used to describe polishing rice or pounding mochi cakes.
Kachi-koshi,勝ち越し,"More wins than losses for a wrestler in a tournament. this is eight wins for a sekitori with fifteen bouts in a tournament, and four wins for lower-ranked wrestlers with seven bouts in a tournament. gaining kachi-koshi generally results in promotion. the opposite is make-koshi."
Kachi-nokori,勝ち残り,"Kachi-nokori literally translates as the winner who remains. during a day of sumo the power water is only given to the next wrestler by either a previous winner on their side of the ring or the next wrestler to fight on their side of the ring so as not to receive the water from either the opposite side or from a loser, which would be bad luck. however at the end of the day, one side will not have a winner or a next wrestler to give them the water. in this case the wrestler who was the last to win from their side will remain at the ringside in order to give them the power water. this individual is known as the kachi-nokori."
Kantō-shō,敢闘賞,Fighting spirit prize. one of three special prizes awarded to rikishi for performance in a basho.
Kettei-sen,決定戦,A playoff between two or more wrestlers in a division who are tied for the lead on the last day of the tournament.
Kenshō-kin,懸賞金,"Prize money based on sponsorship of the bout, awarded to the winner upon the gyōji's gunbai. the banners of the sponsors are paraded around the dohyō prior to the bout, and their names are announced. roughly half the sponsorship prize money goes directly to the winner, the remainder (less an administrative fee) is held by the japan sumo association until his retirement."
Keshō-mawashi,化粧廻し,"The loincloth fronted with a heavily decorated apron worn by sekitori wrestlers for the dohyō-iri. these are very expensive, and are usually paid for by the wrestler's organization of supporters or a commercial sponsor."
Kinboshi,金星,Gold star. awarded to a maegashira who defeats a yokozuna during a honbasho. it represents a permanent salary bonus.
Kinjite,禁じ手,"Forbidden hand. a foul move during a bout, which results in disqualification. examples include punching, kicking and eye-poking. the only kinjite likely to be seen these days (usually inadvertently) is hair-pulling."
Kore yori san'yaku,これより三役,These three bouts. the final three torikumi during senshūraku. the winner of the first bout wins a pair of arrows.
Kōshō seido,公傷制度,"Public injury system. introduced in 1972, this system allowed a wrestler who had been injured in the ring during a tournament to sit out the next tournament without any effect on his rank. it was abolished at the end of 2003 because it was felt too many wrestlers were missing tournaments with minor injuries.[2]"
Kuisagaru,食い下がる,"Grabbing the front of the opponent's belt, placing one's head against their chest, and lowering one's hips in an effort to lower one's center of gravity in order to force out an opponent."
Maegashira,前頭,"Those ahead. the fifth-highest rank of sumo wrestlers, and the lowest makuuchi rank. this rank makes up the bulk of the makuuchi division, comprising around 30 wrestlers depending on the number in san'yaku. only the top ranks (maegashira jō'i, 前頭上位) normally fight against san'yaku wrestlers. also sometimes referred to as hiramaku (平幕), particularly when used in contrast to san'yaku."
Maezumō,前相撲,Before sumo. unranked sumo wrestlers in their first bouts. participation in at least one maezumō bout is required to enter the jonokuchi division for the following honbasho.
Make-koshi,負け越し,"More losses than wins for a wrestler in a tournament. make-koshi generally results in demotion, although there are special rules on demotion for ōzeki. the opposite is kachi-koshi."
Makushita,幕下,"Below the curtain. the third highest division of sumo wrestlers, below jūryō and above sandanme. originally the division right below makuuchi, explaining its name, before jūryō was split off from it to become the new second highest division."
Makushita tsukedashi,幕下付け出し,"A system where an amateur wrestler who has won one of the four major amateur titles is allowed to skip the bottom three divisions and enter pro sumo at the makushita third highest division at the rank of makushita 15. in the event of achieving two of these titles in the same year, he can begin at makushita 10. the original system has existed since the taishō era, and until 1966 any wrestler who was a university graduate could enter pro sumo at the bottom of makushita. the system was changed in 1966, and from then until 2001 a wrestler who had achieved success as an amateur would begin at the rank of makushita 60, though the criteria were not as strict as post 2001. (see also sandanme tsukedashi.)"
Man'in onrei,満員御礼,"Full house. banners are unfurled from the ceiling when this is achieved during honbasho. however, it is not necessary to be at 100% capacity to unfurl the banner. typically when seats are over 80% filled the banner is unfurled, however they have been unfurled with numbers as low as 75% and not unfurled with numbers as high as 95%."
Matta,待った,"False start. when the wrestlers do not have mutual consent in the start of the match and one of the wrestlers starts before the other wrestler is ready, a matta is called, and the match is restarted. typically the wrestler who is at fault for the false start (often this is both of them; one for giving the impression that he was ready to the other and the other for moving before his opponent was ready) will bow to the judges in apology. the kanji, 待, means to wait, indicating that the match must wait until both wrestlers are ready."
Mawashi,廻し,The thick-waisted loincloth worn for sumo training and competition. those of sekitori wrestlers are white cotton for training and colored silk for competition; lower ranks wear dark cotton for both training and competition.
Mizu-iri,水入り,"Water break. when a match goes on for around 4 minutes, the gyōji will stop the match for a water break for the safety of the wrestlers. in the two sekitori divisions, he will then place them back in exactly the same position to resume the match, while lower division bouts are restarted from the tachi-ai."
Moro-zashi,両差し,Deep double underarm grip which prevents the opponent from grabbing the belt.
Musubi no ichiban,結びの一番,The final bout of the day.
Nekodamashi,猫騙し,Clapping of the hands at the tachi-ai to distract the opponent.
Nihon sumō kyōkai,日本相撲協会,"Japan sumo association, the governing body for professional sumo."
Nokotta,残った,"Something the referee shouts during the bout indicating to the wrestler on defense that he is still in the ring. literally translates as ""remaining"" as in remaining in the ring."
Ōichōmage,大銀杏髷,Literally ginkgo-leaf top-knot. this is the hair style worn in tournaments by jūryō and makuuchi wrestlers. it is so named because the top-knot is fanned out on top of the head in a shape resembling a ginkgo-leaf. it is only worn during formal events such as tournaments. otherwise even top rankers will wear their hair in a chonmage style.
Oshi-zumō,押し相撲,"There are two main types of wrestling in sumo: oshi-zumō and yotsu-zumō. oshi-zumō literally translates as pushing sumo, and is more commonly referred to in english as a pusher (oshi)-thruster(tsuki). one who fights in the oshi-zumō style prefers fighting apart, not grabbing the belt as in yotsu-zumō, and usually winning with tactics of pushing, thrusting, and tsuppari. oshi-zumō when done effectively can lead to a quick and decisive victory, but its exponents often fall prey to dodging motions or being slapped down, and may become helpless once the opponent gets a hold of their belt. oshi-zumō fighters are generally thought of as simplistic, while yotsu-zumō fighters are seen more as technicians."
Ottsuke,押っ付け,"Technique of holding one's opponent's arm to prevent him from getting a hold on one's belt. literally, ""push and affix"" as in affixing the opponent's arm against one's body and preventing it from reaching the belt."
Ōzeki,大関,"Great barrier, but usually translated as champion. the second-highest rank of sumo wrestlers."
Rikishi,力士,"Literally, powerful man. the most common term for a professional sumo wrestler, although sumōtori is sometimes used instead."
Sandanme,三段目,"Third level. the third lowest division of sumo wrestlers, above jonidan and below makushita."
Tsuriotoshi,吊り落とし,"While wrestlers face each other, to pick up the opponent by his mawashi and slam him onto the dohyō (lifting body slam)."
Sandanme tsukedashi,三段目付け出し,"A system instituted in 2015 where an amateur wrestler finishing in the top 8 of either the all-japan championships, all-japan corporate championships, national student championships, or the national sports festival adults tournament is allowed to skip the bottom two divisions and start at the bottom of the sandanme division. (see also makushita tsukedashi.)"
San'yaku,三役,"Three ranks. the ""titleholder"" ranks at the top of sumo. there are actually 4 ranks in san'yaku: yokozuna, ōzeki, sekiwake and komusubi, since the yokozuna is historically an ōzeki with a license to perform his own ring-entering ceremony. the word is occasionally used to refer only to sekiwake and komusubi."
San'yaku soroibumi,三役揃い踏み,"Ritual preceding the final three bouts on the final day (senshūraku) of a honbasho, where three of the san'yaku-ranked wrestlers from the east and west sides in turn perform shiko simultaneously."
Senshūraku,千秋楽,"The final day of a sumo tournament. senshūraku literally translates as ""many years of comfort."" there are a two possible explanations for the origins of this term. in gagaku (雅楽, traditional japanese court music) the term is tied with celebratory meaning to the last song of the day. in classic nōgaku (能楽) theater there is a play known as takasago (高砂) in which the term is used in a song at the end of the play. today the term is used in kabuki and other types of performances as well."
Sewanin,世話人,"Assistant. a retired wrestler (usually from the makushita division) who remains a member of the sumo association within his own stable to assist with various tasks, administrative or otherwise, in the stable and at tournaments and regional exhibitions."
Shikiri-sen,仕切り線,The two short white lines in the middle of the ring that wrestlers must crouch behind before starting a bout.
Shiko,四股,"The sumo exercise where each leg in succession is lifted as high and as straight as possible, and then brought down to stomp on the ground with considerable force. in training this may be repeated hundreds of times in a row. shiko is also performed ritually to drive away demons before each bout and as part of the yokozuna dohyō-iri."
Shikona,四股名,"A wrestler's ""fighting or ring name"", often a poetic expression which may contain elements specific to the wrestler's heya. japanese wrestlers frequently do not adopt a shikona until they reach makushita or jūryō; foreign wrestlers adopt one on entering the sport. on rare occasions, a wrestler may fight under his original family name for his entire career, such as former ōzeki dejima and former yokozuna wajima."
Shimpan,審判,"Ringside judges or umpires who may issue final rulings on any disputed decision. there are five shimpan for each bout, drawn from senior members of the nihon sumō kyōkai, and wearing traditional formal kimono."
Shin-deshi,新弟子,New pupil. a new recruit into sumo.
Shingitai,心技体,"Heart, technique, and body: the three qualities of a wrestler. the most successful wrestlers will be strong in all three categories."
Shini-tai,死に体,"Dead body. a wrestler who was not technically the first to touch outside the ring but is nonetheless ruled the loser, for example when he is pushed out with such force that he is still in the air when his opponent touches down."
Shinjo,新序,"A designation given to wrestlers who had performed well in maezumō that allowed them to participate in jonokuchi in the same tournament. additionally, if they performed well at this stage, they were allowed to skip straight to the jonidan rank in the next tournament. this system is no longer used."
Shishō,師匠,"Master, teacher. a sumo elder in charge of a sumo stable."
Shitaku-beya,支度部屋,"Preparation room. room in which rikishi in the ranks of jūryō and above wait before their matches. this is where they will place their belongings, put on their belt, and warm up for their match."
Shokkiri,初っ切り,"A comedic sumo performance, a type of match common to exhibition matches  and tours; similar in concept to the basketball games of the harlem globetrotters."
Shusshin,出身地,"Birthplace or place of origin. similar to the term ""fighting out of"" in sports like boxing or mma. heya are restricted to having no more than one rikishi whose shusshin is outside of japan."
Sōridaijin-hai,総理大臣杯,Prime minister's cup. ceremonial cup presented by the sitting prime minister or an intermediary to the makuuchi champion at every tournament held in ryogoku.
Sumōtori,相撲取,"Literally, one who does sumo. sumo wrestler, but occasionally refers only to sekitori."
Tate-gyōji,立行司,"The two designated highest ranking gyōji, who preside over the last few bouts of a tournament day. the highest ranking gyōji takes the professional name kimura shōnosuke while the lower takes the name shikimori inosuke."
Tegata,手形,Hand print. a memento consisting of a wrestler's handprint in red or black ink and his shikona written by the wrestler in calligraphy on a square paperboard. it can be an original or a copy. a copy of a tegata may also be imprinted onto other memorabilia such as porcelain dishes. only sekitori wrestlers are allowed to make hand prints.
Tegatana,手刀,"Knife hand. after winning a match and accepting the prize money, the wrestler makes a ceremonial hand movement with a tegatana known as tegatana o kiru (手刀を切る) where he makes three cutting motions in the order of left, right, and center."
Tenran-zumō,天覧相撲,"Sumo performed in front of the emperor. in the past women were forbidden from watching sumo, however nowadays the empress joins the emperor in watching sumo. they are escorted to their seats called kihin-seki (貴賓席), which are only used by the royal family, by the chairman of the sumo association who sits behind them and explains the happenings."
Tokoyama,床山,Hairdressers employed by the sumo association to style the hair of wrestlers and to fashion the elaborate ōichomage of sekitori for official tournaments and public engagements.
Torinaoshi,取り直し,"A rematch. when the result of a bout is too close to call even after the shimpan hold a mono-ii, they may call for the bout to be refought from the tachi-ai."
Tsukebito,付け人,A rikishi in the lower divisions who serves as a personal attendant to a sekitori ranked wrestler.
Ushiromotare,後ろもたれ,"While the opponent is behind the wrestler, to back up and push him out of the dohyō (backward lean out)."
Tsuna,綱,"The heavy rope worn by the yokozuna from which that rank takes its name. it weighs about 15 kg, and is much thicker in front than where it is tied in back. five shide (紙垂), zig-zag paper strips symbolizing lightning, hang from the front. it strongly resembles the shimenawa used to mark sacred areas in shinto."
Wakaimonogashira,若い者頭,"Youth leader. a retired wrestler (usually a former jūryō or maegashira) who is a functionary of the sumo association, working with new recruits at his former stable or associated ichimon, and who also arranges maezumō matches."
Wanpaku-zumo,腕白相撲,"Sumo for elementary school-aged children. the national final is held at the ryōgoku kokugikan. literally ""unruly sumo"" or ""mischievous sumo""."
Yobidashi,呼出 or 呼び出し,"Usher or announcer. general assistants at tournaments. they call the wrestlers to the dohyō before their bouts, build the dohyō prior to a tournament and maintain it between bouts, display the advertising banners before sponsored bouts, maintain the supply of ceremonial salt and chikara-mizu, and any other needed odd jobs."
Yokozuna shingi kai,横綱審議会 or Yokozuna Shingi Iinkai,"Yokozuna deliberation council, a body formed in 1950 whose 15 members are drawn from outside the japan sumo association, that meets following each honbasho to consider candidates for promotion to yokozuna. a recommendation is passed back to the sumo association who have the final say. it also offers opinions on the performance of current yokozuna."
Yotsu-zumō,四つ相撲,"There are two main types of wrestling in sumo: oshi-zumō and yotsu-zumō. yotsu-zumō is where both wrestlers grasp the other's belt with both hands, hence the literal translation: four sumo or four hands on the mawashi sumo. there are a few sub-types of yotsu-zumō. migi-yotsu (右四つ) is when one has sashite (差して) on the right (migi), meaning that one has his right hand under his opponent's left arm and grasping his mawashi. hidari-yotsu is the opposite where one's left (hidari) hand is inside the opponent's right arm. a yotsu-zumō fighter will typically prefer left or right and is referred to as migi-yotsu or hidari-yotsu fighter. if one has no preference, they are referred to as namakura-yotsu (鈍ら四つ), where namakura literally translates as lazy or cowardly, suggesting that having no preference is seen in a negative light. there is one other final yotsu grip known as moro-zashi (両差し), literally sashite on both sides, where both hands are inside and is a very strong grip. the only real defense for a moro-zashi grip is the kimedashi (極めだし) technique where the defending wrestler wraps both of his arms over the moro-zashi grip and locks his hands underneath, which squeezes the double inside grip together, weakening it, and allowing one to force the opponent out of the ring. kime-dashi is also known as kannuki (閂, usually written in hiragana as かんぬき), and means to bolt or bar. when two wrestlers who both fight in the yotsu-zumō style oppose each other and favor the same style grip, either migi-yotsu or hidari-yotsu, then they will fit together nicely in what is called ai-yotsu (相四つ), or together yotsu. if however they are of opposite preferences, then it is known as kenka-yotsu (喧嘩四つ), literally fighting yotsu. in this situation, whoever gets his preferred grip is usually the victor."
Yūshō,優勝,"A tournament championship in any division, awarded to the wrestler who wins the most bouts."
Zanbara,ざんばら,"Loose and disheveled hair. term for style of hair before wrestler's hair is long enough to put in chonmage hair style. when seen in upper divisions it is a sign of a wrestler who has come up the ranks quickly as his hair has not yet had a chance to grow to a length in which it can be tied into a chonmage. in succession a wrestler starts with the zanbara style, then moves to the chonmage style, and then finally the ōichōmage style, which can only be worn by wrestlers in the top two divisions."
Rikishi,力士,A professional sumo wrestler. 
Mawashi,廻し,The belt (loincloth) that the rikishi (or sumo wrestler) wears during training or in competition. 
Dohyō,土俵,The ring in which sumo wrestling bouts are held.
Honbasho,本場所,An official professional sumo tournament.
Gyōji,行司,A referee in professional sumo wrestling in japan.
Shimpan,審判,The ring-side judges of a professional sumo bout.
Kimarite,決まり手,Winning techniques in a sumo bout.
Kihonwaza,基本技,"Basic techniques. these, with the exception of the rarely seen abisetaoshi, are some of the most common kimarite in sumo."
Abisetaoshi,浴びせ倒し,Forcing down the opponent on their back by leaning forward while in a grappling position (backward force down).
Oshidashi,押し出し,"Pushing the opponent out of the ring without holding their mawashi or belt, nor fully extending his arms. hand contact must be maintained through the push (front push out)."
Oshitaoshi,押し倒し,Pushing the opponent down out of the ring (the opponent falls out of the ring instead of backing out) without holding their mawashi. hand contact is maintained throughout the push (front push down).
Tsukidashi,突き出し,Thrusting the opponent backwards out of the ring with one or a series of hand thrusts. the attacker does not have to maintain hand contact (front thrust out).
Tsukitaoshi,突き倒し,Thrusting the opponent down out of the ring (the opponent falls over the edge) onto their back with a hard thrust or shove (front thrust down).
Yorikiri,寄り切り,"Maintaining a grip on the opponent's mawashi, the opponent is forced backwards out of the ring (frontal force out)."
Yoritaoshi,寄り倒し,"Maintaining a grip on the opponent's mawashi, the opponent is forced backwards out of the ring and collapses on their back from the force of the attack (front crush out)."
Nagete,投げ手,Throwing techniques.
Ipponzeoi,本背負い,"While moving backwards to the side, the opponent is pulled past the attacker and out of the ring by grabbing and pulling their arm with both hands (one-armed shoulder throw)."
Kakenage,掛け投げ,"Lifting the opponent's thigh with one's leg, while grasping the opponent with both arms, and then throwing the off-balance opponent to the ground (hooking inner thigh throw)."
Koshinage,腰投げ,"Bending over and pulling the opponent over the attacker's hip, then throwing the opponent to the ground on their back (hip throw)."
Kotenage,小手投げ,"The attacker wraps their arm around the opponent's extended arm (差し手 - gripping arm), then throws the opponent to the ground without touching their mawashi. a common move (armlock throw)."
Kubinage,首投げ,"The attacker wraps the opponent's head (or neck) in his arms, throwing him down (headlock throw)."
Nichonage,二丁投げ,Extending the right (left) leg around the outside of the opponent's right (left) knee thereby sweeping both of his legs off the surface and throwing him down (body drop throw)
